team1,team2,venue,toss_winner,toss_decision,winner,date
Zimbabwe,Namibia,"Achimota Senior Secondary School A Field, Accra",Zimbabwe,bat,Zimbabwe,2024-03-17
Uganda,Kenya,"Achimota Senior Secondary School B Field, Accra",Uganda,bat,Uganda,2024-03-17
South Africa,Ghana,"Achimota Senior Secondary School A Field, Accra",South Africa,bat,South Africa,2024-03-17
Malaysia,Papua New Guinea,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,2024-03-17
Tanzania,Nigeria,"Achimota Senior Secondary School B Field, Accra",Tanzania,bat,Tanzania,2024-03-17
Tanzania,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",Tanzania,bat,Zimbabwe,2024-03-18
Uganda,Ghana,"Achimota Senior Secondary School B Field, Accra",Uganda,bat,Uganda,2024-03-18
Namibia,Nigeria,"Achimota Senior Secondary School B Field, Accra",Namibia,bat,Nigeria,2024-03-18
England,New Zealand,"University Oval, Dunedin",New Zealand,field,England,2024-03-19
Ghana,Kenya,"Achimota Senior Secondary School B Field, Accra",Ghana,bat,Kenya,2024-03-20
Nigeria,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",Nigeria,bat,Zimbabwe,2024-03-20
Tanzania,Namibia,"Achimota Senior Secondary School B Field, Accra",Tanzania,bat,Namibia,2024-03-20
Namibia,Uganda,"Achimota Senior Secondary School A Field, Accra",Namibia,bat,Namibia,2024-03-21
Zimbabwe,Kenya,"Achimota Senior Secondary School A Field, Accra",Zimbabwe,bat,Zimbabwe,2024-03-21
England,New Zealand,"Saxton Oval, Nelson",New Zealand,field,England,2024-03-22
Namibia,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",Namibia,bat,Zimbabwe,2024-03-23
Uganda,Kenya,"Achimota Senior Secondary School A Field, Accra",Uganda,bat,Uganda,2024-03-23
New Zealand,England,"Saxton Oval, Nelson",New Zealand,bat,New Zealand,2024-03-24
South Africa,Sri Lanka,"Willowmoore Park, Benoni",Sri Lanka,field,South Africa,2024-03-27
England,New Zealand,"Basin Reserve, Wellington",New Zealand,field,England,2024-03-27
New Zealand,England,"Basin Reserve, Wellington",New Zealand,bat,England,2024-03-29
South Africa,Sri Lanka,"Senwes Park, Potchefstroom",South Africa,bat,Sri Lanka,2024-03-30
Papua New Guinea,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe,2024-03-30
Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Australia,2024-03-31
Oman,Namibia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,field,Namibia,2024-04-01
Australia,Bangladesh,"Shere Bangla National Stadium, Mirpur",Australia,bat,Australia,2024-04-02
Zimbabwe,Papua New Guinea,Harare Sports Club,Papua New Guinea,field,Zimbabwe,2024-04-02
Oman,Namibia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,Oman,2024-04-02
South Africa,Sri Lanka,"Buffalo Park, East London",Sri Lanka,field,Sri Lanka,2024-04-03
Australia,Bangladesh,"Shere Bangla National Stadium, Mirpur",Australia,bat,Australia,2024-04-04
Namibia,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,2024-04-04
Namibia,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Namibia,2024-04-05
Canada,United States of America,Prairie View Cricket Complex,United States of America,field,United States of America,2024-04-07
Namibia,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,bat,Namibia,2024-04-07
United States of America,Canada,Prairie View Cricket Complex,Canada,field,United States of America,2024-04-09
Oman,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,field,Oman,2024-04-12
United States of America,Canada,Prairie View Cricket Complex,Canada,field,United States of America,2024-04-12
Malaysia,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Malaysia,bat,Nepal,2024-04-12
Kuwait,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,field,United Arab Emirates,2024-04-12
Hong Kong,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Hong Kong,bat,Hong Kong,2024-04-12
Mexico,Costa Rica,Los Reyes Polo Club,Mexico,bat,Mexico,2024-04-12
Mexico,Costa Rica,Los Reyes Polo Club,Costa Rica,field,Mexico,2024-04-12
Costa Rica,Mexico,Los Reyes Polo Club,Costa Rica,bat,Costa Rica,2024-04-13
Canada,United States of America,Prairie View Cricket Complex,Canada,bat,United States of America,2024-04-13
Cambodia,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,Kuwait,2024-04-13
United Arab Emirates,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,field,United Arab Emirates,2024-04-13
Malaysia,Saudi Arabia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Malaysia,bat,Malaysia,2024-04-13
Nepal,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,Nepal,2024-04-13
Jersey,Spain,La Manga Club Top Ground,Jersey,bat,Spain,2024-04-14
Oman,Cambodia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Cambodia,field,Oman,2024-04-14
Saudi Arabia,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Saudi Arabia,bat,Saudi Arabia,2024-04-14
Jersey,Spain,La Manga Club Top Ground,Spain,field,Spain,2024-04-14
Mexico,Costa Rica,Los Reyes Polo Club,Mexico,bat,Mexico,2024-04-14
Hong Kong,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Nepal,2024-04-15
Malaysia,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,field,Qatar,2024-04-15
United Arab Emirates,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,2024-04-15
Kuwait,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,field,Kuwait,2024-04-15
Qatar,Saudi Arabia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Saudi Arabia,field,Qatar,2024-04-16
Cambodia,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,Bahrain,2024-04-16
Saudi Arabia,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Nepal,field,Nepal,2024-04-17
Oman,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,field,Oman,2024-04-17
Cambodia,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,United Arab Emirates,2024-04-17
Malaysia,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,field,Hong Kong,2024-04-17
Thailand,Ireland,"7he Sevens Stadium, Dubai",Thailand,bat,Ireland,2024-04-18
Hong Kong,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,2024-04-19
Nepal,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,field,United Arab Emirates,2024-04-19
Nepal,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,Hong Kong,2024-04-20
Gibraltar,Estonia,Europa Sports Complex,Estonia,field,Gibraltar,2024-04-20
New Zealand,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,Pakistan,2024-04-20
Gibraltar,Estonia,Europa Sports Complex,Gibraltar,bat,Gibraltar,2024-04-21
Indonesia,Mongolia,Udayana Cricket Ground,Mongolia,field,Indonesia,2024-04-21
Indonesia,Mongolia,Udayana Cricket Ground,Indonesia,bat,Indonesia,2024-04-21
Pakistan,New Zealand,Rawalpindi Cricket Stadium,New Zealand,field,New Zealand,2024-04-21
Gibraltar,Estonia,Europa Sports Complex,Estonia,field,Gibraltar,2024-04-21
United Arab Emirates,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,United Arab Emirates,2024-04-21
Mongolia,Indonesia,Udayana Cricket Ground,Mongolia,bat,Indonesia,2024-04-22
Indonesia,Mongolia,Udayana Cricket Ground,Indonesia,bat,Indonesia,2024-04-22
Botswana,Lesotho,"Botswana Cricket Association Oval 1, Gaborone",Botswana,bat,Botswana,2024-04-22
Mozambique,Botswana,"Botswana Cricket Association Oval 2, Gaborone",Mozambique,bat,Botswana,2024-04-22
Lesotho,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Lesotho,bat,Rwanda,2024-04-22
Mozambique,Rwanda,"Botswana Cricket Association Oval 2, Gaborone",Mozambique,bat,Rwanda,2024-04-22
Mozambique,Botswana,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,bat,Botswana,2024-04-23
Mozambique,Lesotho,"Botswana Cricket Association Oval 2, Gaborone",Lesotho,field,Mozambique,2024-04-23
Botswana,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Botswana,bat,Rwanda,2024-04-23
Mongolia,Indonesia,Udayana Cricket Ground,Mongolia,bat,Indonesia,2024-04-24
Indonesia,Mongolia,Udayana Cricket Ground,Indonesia,bat,Indonesia,2024-04-24
Scotland,Uganda,"Tolerance Oval, Abu Dhabi",Uganda,field,Scotland,2024-04-25
Zimbabwe,Vanuatu,"Zayed Cricket Stadium, Abu Dhabi",Zimbabwe,bat,Vanuatu,2024-04-25
United Arab Emirates,Ireland,"Zayed Cricket Stadium, Abu Dhabi",Ireland,field,Ireland,2024-04-25
New Zealand,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,New Zealand,2024-04-25
Mozambique,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,bat,Rwanda,2024-04-25
Botswana,Lesotho,"Botswana Cricket Association Oval 2, Gaborone",Botswana,bat,Botswana,2024-04-25
Sri Lanka,Thailand,"Tolerance Oval, Abu Dhabi",Sri Lanka,bat,Sri Lanka,2024-04-25
Botswana,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Rwanda,field,Rwanda,2024-04-25
West Indies,Pakistan,"National Stadium, Karachi",West Indies,bat,West Indies,2024-04-26
Mozambique,Lesotho,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,bat,Mozambique,2024-04-26
Botswana,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Rwanda,field,Rwanda,2024-04-26
Pakistan,New Zealand,"Gaddafi Stadium, Lahore",New Zealand,field,Pakistan,2024-04-27
United Arab Emirates,Zimbabwe,"Tolerance Oval, Abu Dhabi",United Arab Emirates,bat,Zimbabwe,2024-04-27
Netherlands,Vanuatu,"Tolerance Oval, Abu Dhabi",Netherlands,bat,Netherlands,2024-04-27
Scotland,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,field,Sri Lanka,2024-04-27
United States of America,Uganda,"Zayed Cricket Stadium, Abu Dhabi",United States of America,bat,Uganda,2024-04-27
Pakistan,West Indies,"National Stadium, Karachi",Pakistan,bat,West Indies,2024-04-28
India,Bangladesh,Sylhet International Cricket Stadium,India,bat,India,2024-04-28
Scotland,United States of America,"Tolerance Oval, Abu Dhabi",United States of America,field,Scotland,2024-04-29
Ireland,Zimbabwe,"Zayed Cricket Stadium, Abu Dhabi",Zimbabwe,field,Ireland,2024-04-29
Uganda,Thailand,"Tolerance Oval, Abu Dhabi",Thailand,field,Thailand,2024-04-29
Netherlands,United Arab Emirates,"Zayed Cricket Stadium, Abu Dhabi",Netherlands,bat,United Arab Emirates,2024-04-29
Bangladesh,India,Sylhet International Cricket Stadium,Bangladesh,bat,India,2024-04-30
West Indies,Pakistan,"National Stadium, Karachi",Pakistan,field,West Indies,2024-04-30
Thailand,Indonesia,Udayana Cricket Ground,Indonesia,field,Thailand,2024-05-01
Netherlands,Zimbabwe,"Tolerance Oval, Abu Dhabi",Netherlands,bat,Netherlands,2024-05-01
Sri Lanka,Uganda,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,bat,Sri Lanka,2024-05-01
Vanuatu,Ireland,"Tolerance Oval, Abu Dhabi",Ireland,field,Ireland,2024-05-01
United States of America,Thailand,"Zayed Cricket Stadium, Abu Dhabi",Thailand,field,Thailand,2024-05-01
Bangladesh,India,Sylhet International Cricket Stadium,India,field,India,2024-05-02
Thailand,Indonesia,Udayana Cricket Ground,Thailand,bat,Indonesia,2024-05-02
West Indies,Pakistan,"National Stadium, Karachi",West Indies,bat,Pakistan,2024-05-02
Ireland,Netherlands,"Zayed Cricket Stadium, Abu Dhabi",Ireland,bat,Ireland,2024-05-03
Pakistan,West Indies,"National Stadium, Karachi",West Indies,field,West Indies,2024-05-03
Thailand,Scotland,"Tolerance Oval, Abu Dhabi",Thailand,bat,Scotland,2024-05-03
United Arab Emirates,Vanuatu,"Zayed Cricket Stadium, Abu Dhabi",Vanuatu,field,United Arab Emirates,2024-05-03
Sri Lanka,United States of America,"Tolerance Oval, Abu Dhabi",Sri Lanka,bat,Sri Lanka,2024-05-03
Zimbabwe,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,field,Bangladesh,2024-05-03
Indonesia,Thailand,Udayana Cricket Ground,Thailand,field,Indonesia,2024-05-04
Zimbabwe,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,field,Bangladesh,2024-05-05
Ireland,Scotland,"Zayed Cricket Stadium, Abu Dhabi",Ireland,bat,Scotland,2024-05-05
Thailand,Indonesia,Udayana Cricket Ground,Indonesia,field,Thailand,2024-05-05
Sri Lanka,United Arab Emirates,"Zayed Cricket Stadium, Abu Dhabi",United Arab Emirates,field,Sri Lanka,2024-05-05
Indonesia,Thailand,Udayana Cricket Ground,Indonesia,bat,Thailand,2024-05-06
India,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,India,2024-05-06
Bangladesh,Zimbabwe,"Zahur Ahmed Chowdhury Stadium, Chattogram",Zimbabwe,field,Bangladesh,2024-05-07
Japan,Mongolia,Sano International Cricket Ground,Japan,bat,Japan,2024-05-07
Sri Lanka,Scotland,"Zayed Cricket Stadium, Abu Dhabi",Scotland,field,Sri Lanka,2024-05-07
Japan,Mongolia,Sano International Cricket Ground,Japan,bat,Japan,2024-05-08
France,Malta,Dreux Sport Cricket Club,France,bat,France,2024-05-09
France,Malta,Dreux Sport Cricket Club,France,bat,France,2024-05-09
Mongolia,Japan,Sano International Cricket Ground,Mongolia,bat,Japan,2024-05-09
India,Bangladesh,Sylhet International Cricket Stadium,India,bat,India,2024-05-09
Pakistan,Ireland,"Castle Avenue, Dublin",Ireland,field,Ireland,2024-05-10
Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Zimbabwe,field,Bangladesh,2024-05-10
Belgium,Malta,Dreux Sport Cricket Club,Belgium,bat,Belgium,2024-05-10
England,Pakistan,"Edgbaston, Birmingham",Pakistan,field,England,2024-05-11
Japan,Mongolia,Sano International Cricket Ground,Japan,bat,Japan,2024-05-11
Malta,Belgium,Dreux Sport Cricket Club,Malta,bat,Belgium,2024-05-11
Belgium,France,Dreux Sport Cricket Club,Belgium,bat,France,2024-05-11
Japan,Mongolia,Sano International Cricket Ground,Japan,bat,Japan,2024-05-11
Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Zimbabwe,field,Zimbabwe,2024-05-12
Ireland,Pakistan,"Castle Avenue, Dublin",Pakistan,field,Pakistan,2024-05-12
Japan,Mongolia,Sano International Cricket Ground,Japan,bat,Japan,2024-05-12
France,Belgium,Dreux Sport Cricket Club,France,bat,Belgium,2024-05-12
Ireland,Pakistan,"Castle Avenue, Dublin",Pakistan,field,Pakistan,2024-05-14
England,Pakistan,"County Ground, Northampton",England,bat,England,2024-05-17
Netherlands,Scotland,"Sportpark Westvliet, The Hague",Scotland,field,Netherlands,2024-05-18
England,Pakistan,"Headingley, Leeds",England,bat,England,2024-05-19
Ireland,Netherlands,"Sportpark Westvliet, The Hague",Netherlands,field,Ireland,2024-05-19
Bangladesh,United States of America,Prairie View Cricket Complex,United States of America,field,United States of America,2024-05-21
Scotland,Netherlands,"Sportpark Westvliet, The Hague",Netherlands,field,Scotland,2024-05-22
Scotland,Ireland,"Sportpark Westvliet, The Hague",Scotland,bat,Ireland,2024-05-23
United States of America,Bangladesh,Prairie View Cricket Complex,Bangladesh,field,United States of America,2024-05-23
West Indies,South Africa,"Sabina Park, Kingston, Jamaica",South Africa,field,West Indies,2024-05-23
Bulgaria,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,bat,Romania,2024-05-24
Bulgaria,Gibraltar,"Moara Vlasiei Cricket Ground, Ilfov County",Gibraltar,field,Gibraltar,2024-05-24
Ireland,Netherlands,"Sportpark Westvliet, The Hague",Netherlands,field,Ireland,2024-05-24
Romania,Gibraltar,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Gibraltar,2024-05-25
West Indies,South Africa,"Sabina Park, Kingston, Jamaica",West Indies,bat,West Indies,2024-05-25
United States of America,Bangladesh,Prairie View Cricket Complex,Bangladesh,field,Bangladesh,2024-05-25
England,Pakistan,"Edgbaston, Birmingham",Pakistan,field,England,2024-05-25
Romania,Bulgaria,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,field,Romania,2024-05-26
South Africa,West Indies,"Sabina Park, Kingston, Jamaica",South Africa,bat,West Indies,2024-05-26
Netherlands,Italy,"Sportpark Harga, Schiedam",Netherlands,bat,Netherlands,2024-05-28
Pakistan,England,"Kennington Oval, London",England,field,England,2024-05-30
Italy,Netherlands,"Sportpark Harga, Schiedam",Italy,bat,Netherlands,2024-05-30
Rwanda,Cameroon,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Rwanda,2024-05-30
Uganda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,2024-05-30
Malawi,Rwanda,"Gahanga B Ground, Rwanda",Malawi,bat,Rwanda,2024-05-31
Botswana,Cameroon,"Gahanga International Cricket Stadium, Rwanda",Botswana,bat,Botswana,2024-05-31
Uganda,Nigeria,"Gahanga B Ground, Rwanda",Nigeria,field,Uganda,2024-05-31
Canada,United States of America,"Grand Prairie Stadium, Dallas",United States of America,field,United States of America,2024-06-01
Cameroon,Nigeria,"Gahanga International Cricket Stadium, Rwanda",Cameroon,bat,Nigeria,2024-06-01
Rwanda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Rwanda,2024-06-01
Kenya,Malawi,"Gahanga B Ground, Rwanda",Kenya,bat,Kenya,2024-06-01
Papua New Guinea,West Indies,"Providence Stadium, Guyana",West Indies,field,West Indies,2024-06-02
Kenya,Nigeria,"Gahanga B Ground, Rwanda",Nigeria,field,Kenya,2024-06-02
Rwanda,Kenya,"Gahanga B Ground, Rwanda",Kenya,field,Rwanda,2024-06-03
Sri Lanka,South Africa,"Nassau County International Cricket Stadium, New York",Sri Lanka,bat,South Africa,2024-06-03
Uganda,Malawi,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,2024-06-03
Botswana,Nigeria,"Gahanga International Cricket Stadium, Rwanda",Botswana,bat,Nigeria,2024-06-03
Nepal,Netherlands,"Grand Prairie Stadium, Dallas",Netherlands,field,Netherlands,2024-06-04
Nigeria,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Nigeria,bat,Nigeria,2024-06-04
Kenya,Uganda,"Gahanga B Ground, Rwanda",Kenya,bat,Uganda,2024-06-04
Cameroon,Malawi,"Gahanga B Ground, Rwanda",Cameroon,bat,Malawi,2024-06-04
Papua New Guinea,Uganda,"Providence Stadium, Guyana",Uganda,field,Uganda,2024-06-05
Ireland,India,"Nassau County International Cricket Stadium, New York",India,field,India,2024-06-05
Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,2024-06-05
Australia,Oman,"Kensington Oval, Bridgetown, Barbados",Oman,field,Australia,2024-06-05
Cameroon,Kenya,"Gahanga International Cricket Stadium, Rwanda",Cameroon,bat,Kenya,2024-06-05
Botswana,Malawi,"Gahanga B Ground, Rwanda",Malawi,field,Botswana,2024-06-05
Namibia,Scotland,"Kensington Oval, Bridgetown, Barbados",Namibia,bat,Scotland,2024-06-06
Kenya,Botswana,"Gahanga B Ground, Rwanda",Kenya,bat,Kenya,2024-06-07
Nigeria,Malawi,"Gahanga B Ground, Rwanda",Malawi,field,Nigeria,2024-06-07
Canada,Ireland,"Nassau County International Cricket Stadium, New York",Ireland,field,Canada,2024-06-07
Uganda,Cameroon,Gahanga International Cricket Stadium. Rwanda,Uganda,bat,Uganda,2024-06-07
Sri Lanka,Bangladesh,"Grand Prairie Stadium, Dallas",Bangladesh,field,Bangladesh,2024-06-07
Kenya,Botswana,"Gahanga International Cricket Stadium, Rwanda",Botswana,field,Kenya,2024-06-08
Nigeria,Rwanda,"Gahanga B Ground, Rwanda",Nigeria,bat,Rwanda,2024-06-08
Australia,England,"Kensington Oval, Bridgetown, Barbados",England,field,Australia,2024-06-08
West Indies,Uganda,"Providence Stadium, Guyana",West Indies,bat,West Indies,2024-06-08
Netherlands,South Africa,"Nassau County International Cricket Stadium, New York",South Africa,field,South Africa,2024-06-08
Cameroon,Malawi,"Gahanga B Ground, Rwanda",Cameroon,bat,Malawi,2024-06-08
Oman,Scotland,"Sir Vivian Richards Stadium, North Sound, Antigua",Oman,bat,Scotland,2024-06-09
Italy,Luxembourg,Roma Cricket Ground,Luxembourg,field,Italy,2024-06-09
Portugal,Hungary,"Simar Cricket Ground, Rome",Hungary,field,Portugal,2024-06-09
India,Pakistan,"Nassau County International Cricket Stadium, New York",Pakistan,field,India,2024-06-09
France,Isle of Man,Roma Cricket Ground,Isle of Man,field,France,2024-06-09
Austria,Romania,"Simar Cricket Ground, Rome",Austria,bat,Romania,2024-06-09
Isle of Man,Turkey,"Simar Cricket Ground, Rome",Turkey,field,Isle of Man,2024-06-10
Portugal,Romania,Roma Cricket Ground,Portugal,bat,Romania,2024-06-10
South Africa,Bangladesh,"Nassau County International Cricket Stadium, New York",South Africa,bat,South Africa,2024-06-10
Israel,Austria,Roma Cricket Ground,Israel,bat,Austria,2024-06-10
France,Italy,"Simar Cricket Ground, Rome",Italy,field,Italy,2024-06-10
Canada,Pakistan,"Nassau County International Cricket Stadium, New York",Pakistan,field,Pakistan,2024-06-11
Namibia,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua",Australia,field,Australia,2024-06-11
Israel,Hungary,"Simar Cricket Ground, Rome",Israel,bat,Hungary,2024-06-12
Luxembourg,Turkey,Roma Cricket Ground,Turkey,field,Luxembourg,2024-06-12
Portugal,Austria,"Simar Cricket Ground, Rome",Portugal,bat,Austria,2024-06-12
United States of America,India,"Nassau County International Cricket Stadium, New York",India,field,India,2024-06-12
Isle of Man,Italy,Roma Cricket Ground,Isle of Man,bat,Italy,2024-06-12
West Indies,New Zealand,"Brian Lara Stadium, Tarouba, Trinidad",New Zealand,field,West Indies,2024-06-12
Portugal,Israel,Roma Cricket Ground,Portugal,bat,Israel,2024-06-13
Oman,England,"Sir Vivian Richards Stadium, North Sound, Antigua",England,field,England,2024-06-13
Hungary,Romania,Roma Cricket Ground,Romania,field,Romania,2024-06-13
